No,input,instansi,JAWABAN KE PELAPOR
1,Banjir Bandang,BASARNAS,"segera hindari aliran sungai, dan lumpur, TIM SAR akan segera di terjunkan ke lokasi"
2,Banjir Lumpur,BASARNAS,"segera hindari aliran sungai, dan lumpur, TIM SAR akan segera di terjunkan ke lokasi"
3,Pendaki hilang,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
4,Terseret ombak,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
5,Orang tenggelam,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
6,Orang hanyut,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
7,Kebakaran hutan,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
8,Tertimbun tanah longsor,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
9,Nelayan terseret ombak,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
10,Wisatawan terseret arus sungai,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
11,Banjir Bandang disertai Lumpur,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
12,Sembilan orang hanyut terbawa banjir bandang,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
13,Lima warga hanyut terbawa banjir lumpur,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
14,Pendaki hilang di gunung bawakaraeng,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
15,Kebakaran hutan meluas hingga pemukiman warga di,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
16,Warga tertimbun tanah longsor di Mata kali,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
17,terjadi banjir bandang di sertai lumpur banyak warga hanyut,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
18,Banjir Bandang Rusak Jalan Menuju Curug,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
19,Warga Terdampak Banjir Bandang di Garut Mulai Bersih-Bersih,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
20,suara Pentungan dan Jerit Emak-emak Kala Banjir Bandang Menerjang sebagian jawa barat,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
21,Pasca Banjir Bandang Di Cianjur Warga Butuhkan Bantuan,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
22,Banjir lumpur panas Sidoarjo,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
23,"Banjir Lumpur Terjadi di Objek Wisata Baby Volcano, Tanggul Pembatas Rusak",BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
24,Banjir Lumpur Menutup Jalan Nasional Bandung Purwokerto di Cilacap,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
25,Korban Banjir Lumpur Cibunian Bogor Mengungsi di SD,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
26,Banjir Lumpur di Sumedang hingga Tiongkok Dihujani Es,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
27,Mahasiswa pasurun yang hilang di bukit krapyak mojokerto ditemukan meninggal,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
28,Pendaki gunung terkenal asal AS hilang di gunung manaslu nepal,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
29,Kronologi Rombongan 7 Pendaki Pemula di Sulut Bawa Balita Tersesat 2 Hari,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
30,Kemarin Pendaki Gunung Arjuno yang Sempat Dilaporkan Hilang Akhirnya Ditemukan hingga 12 Kali Letusan Gunung Semeru,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
31,Lima Pendaki Asal Sukabumi Hilang Kontak di Gunung Salak,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
32,Guru besar UGM terseret ombak pantai saat melakukan foto bersama,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
33,Seorang PNS terseret ombak usai selamatkan 2 orang anak,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
34,seorang lansia terseret ombak di suka bumi,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
35,Mayat pelajar ditemukan di batukaras pangandara,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
36,2 remaja tersret ombak saat mandi di pantai lombok,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
37,kapal kayu penumpang 8 tenggelam di perairan maluku,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
38,kapal kayu penumpang 8 tenggelam di aceh,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
39,jasad 2 orang tenggelam saat banjir di bekasi di temukan,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
40,2 orang tenggelam di pantai ancol,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
41,mobil tenggelam bersama penumpang di sungai brantas,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
42,2 pembakaran hutan di pulau samosir sumut,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
43,kebakaran hutan di rokan hulu,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
44,kebakaran hutan danau toba titik api sulit dijangkau,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
45,ancaman kebakaran hutan dan di lahan NTT,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
46,kebakaran hutan di yunani tak terkendali,BASARNAS,TIM SAR akan segera di terjunkan ke lokasi
47,Banjir,BPBD,"evakuasi ke tempat yang lebih tinggi, matikan semua aliran listrik yg ada di rumah"
48,saat ini banjir di daerah simboro,BPBD,(1) input data keluarga anda pada url ini ... (2)segera merapat ke posko terdekat berikut Link Maps posko di area anda
49,terjadi banjir di daerah simboro mamuju dan sekitarnya,BPBD,"evakuasi ke tempat yang lebih tinggi, matikan semua aliran listrik yg ada di rumah"
50,telah terjadi bencana banjir 20 rumah terendam rusak ringan,BPBD,silahkan input data rumah rusak di link ini‹ dan segera evakuasi diri dan keluarga anda
51,terjadi gelombang pasang Rob dan mengakibatkan 10 tambak dan beberapa rumah warga terdampak,BPBD,evakuasi diri dan keluarga anda ke tempat yg aman
52,terjadi banjir di daerah korongana,BPBD,evakuasi diri dan keluarga anda ke tempat yg aman
53,gempa bumi satu rumah warga rusak,BPBD,saat ini warga di himbau agar tetap waspada dan menghindari area reruntuhan rumah
54,orang hanyut di sungai dan saat ini belum di temukan keberadaannya,BPBD,
55,potensi cuaca extrem di lebak hingga 16 september,BPBD,
56,wanti-wanti cuaca extrem selimuti jakarta hingga akhir pekan ini,BPBD,
57,banjir dibengkulu meluas ke 6 kabupaten,BPBD,
58,langka trekhir evakuasi paus terdampar di banyuwangi,BPBD,
59,25 anggota BPBD garut ikut pelatihan penglolahan informasi,BPBD,
60,banjr rendam desa bangai,BPBD,
61,"bpbd sulbar ungkap gempa M 5,8 mamuju terasa kencang selama 10 detik",BPBD,
62,belasan desa di malinau kaltara terendam banjir,BPBD,
63,puluhan warga desa mareje ntb akibat banjir pulang dari pengungsian,BPBD,
64,80 rumah warga terendam banjir di luwu,BPBD,
65,angin kencang rusak rumah-rumah ibah,BPBD,
66,banjir di kutim surut,BPBD,
67,piuting beliung terjang klaten,BPBD,
68,buaya di jepara lepas ke pemukiman warga,DAMKAR,
69,7 di daerah sulsel dilanda banjir dan lonsor,BPBD,
70,belasan kelurahan di kendal terendam banjir,BPBD,
71,jakarta dan penurunan permukaan tanah,BPBD,
72,"solo diguyur hujan lebat, sejumah ruas jalan tergenang",BPBD,
73,waspada gelombang tinggi di pesisir selatan cianjur,BPBD,
74,pria di kbb sinyatakan hilang,BPBD,
75,diguyur hujan jakarta masi banjir,BPBD,
76,pacitan masuk zona merah gempa dan tsunami,BPBD,
77,"angke hulu siaga 1,8 wilayah ini potensi banjir",BPBD,
78,kabupaten malang tetapkan status darurat bencana gempa,BPBD,
79,puting biliung di cimenyan bandung 361 rumah rusak,BPBD,
80,28 warga medan satria bekasi mengungsi banjir,BPBD,
81,pasutri di kupang tewas akibat tertimbun longsor,BPBD,
82,jabar rawan bencana BPBD susun peta kewaspadaan hingga tingkat desa,BPBD,
83,hujan lebih 2 jam warga cianjur dekat sungai diimbau mengungsi,BPBD,
84,hujan lebat 40 rumah warga pandeleg terendam banjir,BPBD,
85,Banjir Bandang,BASARNAS,"segera hindari aliran sungai, dan lumpur, TIM SAR akan segera di terjunkan ke lokasi"
86,Banjir Lumpur,BASARNAS,
87,Pendaki hilang,BASARNAS,
88,Terseret ombak,BASARNAS,
89,Orang tenggelam,BASARNAS,
90,Orang hanyut,BASARNAS,
91,Kebakaran hutan,BASARNAS,
92,Tertimbun tanah longsor,BASARNAS,
93,Nelayan terseret ombak,BASARNAS,
94,Wisatawan terseret arus sungai,BASARNAS,
95,Banjir Bandang disertai Lumpur,BASARNAS,
96,Sembilan orang hanyut terbawa banjir bandang,BASARNAS,
97,Lima warga hanyut terbawa banjir lumpur,BASARNAS,
98,Pendaki hilang di gunung bawakaraeng,BASARNAS,
99,Kebakaran hutan meluas hingga pemukiman warga di,BASARNAS,
100,Warga tertimbun tanah longsor di Mata kali,BASARNAS,
101,terjadi banjir bandang di sertai lumpur banyak warga hanyut,BASARNAS,
102,kebakaran di rumah warga dan api makin membesar di perlukan penanganan yang lebih intens,BASARNAS,"laporan anda kami terima tetap waspada, kami akan segera mengirimkan bantuan"
103,terjadi kebakaran di areal pasar,BASARNAS,"tetap tenang dan selalu awasi aliran sungai, kami akan menginformasikan ke instansi terkait"
104,laporan kebakaran di rumah warga dan api makin membesar di perlukan penanganan yang lebih intens,BASARNAS,"terimakasih laporan anda kami terima, laporan anda akan kami teruskan ke pihak terkait agar segera di lakukan pencarian"
105,terjadi kebakaran di rumah warga,BASARNAS,"terimakasih laporan anda kami terima, laporan anda akan kami teruskan ke pihak terkait"
106,rumah saya terbakar,BPBD,lakukan observasi awal area titik tenggelammnya anak tersebut kami akan menginformasikan ke pihak terkait
107,Terjadi kebakaran hutan,BASARNAS,"terimakasih laporan anda kami terima, laporan anda akan kami teruskan ke pihak terkait"
108,Terjadi Kebakaran Kebun dan diperkirakan akan segera meluas,BASARNAS,"terimakasih laporan anda kami terima, laporan anda akan kami teruskan ke pihak terkait agar segera di lakukan pencarian"
109,"terjadi longor dan menimbun rumah warga, ada beberapa di nyatakan tertimbun",BASARNAS,"laporan anda kami terima dan akan segera di tindak lanjuti, ke pihak terkait basarnas agar mengirimkan bantuan TIM evakuasi"
110,terjadi banjir dan tanggul jebol,BASARNAS,lakukan observasi awal area titik tenggelammnya anak tersebut kami akan menginformasikan ke pihak terkait
111,hujan lebat dan terjadi longsor beberapa orang warga masih tertimbun,BASARNAS,"laporan anda kami terima dan akan segera di tindak lanjuti, ke pihak terkait basarnas agar mengirimkan bantuan TIM evakuasi"
